iter	RMSE
0	1672894.874
1	1594853.364
2	1529722.919
3	1471515.33
4	1420455.817
5	1375642.53
6	1336899.076
7	1302831.37
8	1273804.728
9	1250414.992
10	1227621.759
11	1206580.328
12	1189308.49
13	1173231.814
14	1158720.972
15	1148240.034
16	1136625.562
17	1125913.173
18	1117167.524
19	1110126.617
20	1100781.902
21	1093117.984
22	1085173.757
23	1079184.21
24	1075180.668
25	1067032.371
26	1062387.864
27	1056383.193
28	1050938.525
29	1045458.233
30	1040215.58
31	1035566.029
32	1032214.786
33	1028738.735
34	1023367.854
35	1020576.006
36	1017814.559
37	1014559.976
38	1010501.666
39	1006835.252
40	1004583.36
41	1002351.463
42	998930.77
43	995589.3991
44	993607.1186
45	990411.0031
46	987610.9441
47	985753.6652
48	982480.3375
49	979869.4861
50	976251.8372
51	972674.4232
52	971234.1854
53	969505.542
54	966989.2429
55	964769.7827
56	963277.9292
57	961521.8572
58	959621.4973
59	958441.3589
60	956232.5124
61	954754.3901
62	953666.9316
63	952362.7474
64	950722.926
65	948435.2554
66	947173.8246
67	945607.9356
68	943898.7503
69	942810.9666
70	939760.665
71	937484.3187
72	936447.1563
73	934661.4175
74	933931.2579
75	931944.9567
76	929477.6642
77	926364.2582
78	924090.1719
79	921812.1138
80	921191.8239
81	919525.2298
82	918450.0684
83	917472.2614
84	916545.8571
85	914605.3659
86	912519.3104
87	911781.1098
88	909790.068
89	908822.1588
90	907517.8851
91	906639.0577
92	905815.7896
93	904289.3735
94	903733.2733
95	903143.8579
96	901348.7779
97	900193.8403
98	899562.4654
99	898934.6824
100	898297.1684
101	897446.4546
102	896910.8047
103	896121.9045
104	895213.8959
105	894505.2307
106	893509.6473
107	892673.473
108	892313.8406
109	891522.6489
110	890352.9347
111	888741.4663
112	887019.5559
113	885783.7014
114	884533.7671
115	883511.9137
116	882858.4757
117	882369.5342
118	880970.28
119	880061.5788
120	879487.5701
121	878342.9348
122	877389.4672
123	876686.6113
124	875949.2384
125	875183.7896
126	874660.4766
127	874216.4927
128	873124.4247
129	872784.5686
130	871822.9718
131	870323.4266
132	869808.6792
133	869069.0164
134	868594.942
135	868006.6848
136	867483.3732
137	866302.7218
138	865600.6442
139	865147.9504
140	864651.2069
141	864063.3937
142	863511.5864
143	862917.1878
144	862514.1608
145	861423.0846
146	861015.0078
147	860173.5729
148	859282.615
149	858568.551
150	857875.8769
151	857368.4627
152	856554.0588
153	856140.608
154	855618.2529
155	855183.7159
156	854785.3882
157	854393.0844
158	853964.5209
159	853564.2171
160	853236.4337
161	852362.114
162	852021.0321
163	851523.4649
164	851185.8075
165	850694.9164
166	850201.0331
167	849848.2481
168	849325.1539
169	848586.5817
170	847974.8214
171	847536.1763
172	846788.268
173	845869.3606
174	845450.7188
175	844982.9156
176	844186.8505
177	843735.451
178	843050.5331
179	842337.3424
180	841893.9703
181	841597.2388
182	841362.4005
183	840652.021
184	840345.1263
185	840123.9403
186	839839.1625
187	839222.3067
188	838925.2213
189	838406.6568
190	837690.0679
191	837239.6594
192	836877.9508
193	836380.5847
194	836140.9571
195	835814.609
196	835238.22
197	834861.5883
198	834474.837
199	833986.9489
200	833797.3304
201	833482.2528
202	833104.3226
203	832789.4182
204	832036.4795
205	831411.1983
206	830959.106
207	830474.7235
208	830196.6253
209	829801.817
210	829498.4301
211	829129.5577
212	828660.28
213	828370.9088
214	827724.9433
215	827465.4149
216	827251.705
217	826894.0201
218	826543.8894
219	826063.427
220	825788.4766
221	825493.0877
222	825072.3294
223	824757.225
224	824437.8943
225	824179.4661
226	823952.7048
227	823832.878
228	823600.6576
229	823148.0927
230	822837.7117
231	822591.9528
232	822339.7699
233	822056.2662
234	821563.1704
235	821249.2268
236	820953.3528
237	820538.0044
238	820330.7379
239	819930.1736
240	819562.6375
241	819144.4764
242	819006.2882
243	818698.633
244	818412.4413
245	818221.3317
246	817983.5206
247	817754.9179
248	817495.5915
249	817191.7466
250	816736.8573
251	816500.4989
252	816292.1714
253	816003.7111
254	815817.8708
255	815518.0106
256	814741.6884
257	814553.8643
258	814254.0011
259	814022.5707
260	813586.3023
261	813330.0527
262	813042.1673
263	812529.4711
264	812072.8453
265	811862.9447
266	811688.6921
267	811503.4772
268	811235.6631
269	811017.5697
270	810722.5118
271	810391.4433
272	810131.4566
273	809897.9647
274	809720.3798
275	809339.6633
276	808891.4025
277	808751.9813
278	808314.9825
279	808124.165
280	807799.4803
281	807558.3475
282	807382.7403
283	807225.0659
284	806978.0882
285	806758.7951
286	806429.7292
287	806230.1651
288	805992.5191
289	805736.1563
290	805599.753
291	805425.4028
292	805243.6729
293	805116.2967
294	804854.9759
295	804694.6148
296	804537.043
297	804358.9757
298	804170.0103
299	803956.5657
300	803801.7957
301	803535.642
302	803280.5335
303	802875.0317
304	802715.3894
305	802171.9109
306	802005.9022
307	801882.8933
308	801659.2147
309	801479.9078
310	801283.8562
311	801054.6927
312	800570.0254
313	800298.2659
314	800058.254
315	799814.9127
316	799666.0505
317	799555.2654
318	799405.3871
319	799134.057
320	798737.8054
321	798340.7805
322	798173.0656
323	797793.9538
324	797610.5971
325	797436.1708
326	797325.6902
327	797175.063
328	796715.4442
329	796445.3836
330	796205.4058
331	795963.2649
332	795825.9287
333	795573.8281
334	795208.7399
335	794927.2054
336	794795.1203
337	794555.202
338	794246.7733
339	794113.7343
340	793923.2598
341	793778.2572
342	793659.6677
343	793378.5784
344	793177.8478
345	793020.809
346	792828.8912
347	792688.5498
348	792275.5396
349	792052.6872
350	791867.5118
351	791596.4847
352	791463.8403
353	791374.9431
354	791184.4014
355	791018.5056
356	790908.8387
357	790786.2335
358	790620.3729
359	790369.4068
360	790001.3231
361	789890.1031
362	789527.7577
363	789139.252
364	788946.9114
365	788793.4998
366	788544.5985
367	788387.584
368	788193.5976
369	787943.9909
370	787785.3483
371	787618.9098
372	787467.5644
373	787329.6411
374	787151.1664
375	787019.8817
376	786840.491
377	786704.3745
378	786467.1553
379	786281.6287
380	785944.5091
381	785852.1341
382	785701.4956
383	785473.0023
384	785320.1349
385	785216.1418
386	785046.2922
387	784930.3237
388	784683.0482
389	784525.1447
390	784349.365
391	783912.332
392	783842.2884
393	783538.9909
394	783412.6356
395	783238.5006
396	783093.3167
397	782974.3095
398	782771.9374
399	782545.9256
