iter	Passed	Remaining
0	110	44196
1	121	24251
2	133	17686
3	143	14241
4	154	12234
5	162	10695
6	169	9537
7	176	8664
8	185	8049
9	191	7475
10	200	7074
11	207	6713
12	216	6440
13	223	6165
14	232	5975
15	242	5812
16	251	5664
17	258	5484
18	265	5325
19	274	5208
20	281	5086
21	289	4980
22	297	4872
23	305	4780
24	313	4702
25	320	4613
26	328	4536
27	336	4472
28	343	4393
29	350	4326
30	357	4257
31	365	4203
32	373	4154
33	381	4106
34	389	4057
35	396	4009
36	404	3969
37	413	3936
38	420	3894
39	428	3855
40	436	3819
41	443	3778
42	449	3735
43	456	3696
44	464	3664
45	471	3625
46	478	3592
47	486	3564
48	494	3539
49	501	3512
50	508	3481
51	515	3451
52	525	3442
53	533	3418
54	541	3397
55	549	3376
56	557	3353
57	564	3331
58	573	3314
59	579	3282
60	587	3264
61	595	3247
62	603	3226
63	611	3211
64	619	3194
65	627	3177
66	635	3159
67	643	3140
68	651	3125
69	660	3112
70	668	3097
71	676	3081
72	685	3069
73	693	3053
74	701	3040
75	708	3021
76	716	3005
77	724	2990
78	731	2971
79	739	2956
80	746	2938
81	754	2925
82	763	2917
83	771	2901
84	779	2887
85	787	2875
86	796	2864
87	804	2852
88	812	2840
89	821	2828
90	828	2814
91	835	2796
92	843	2783
93	850	2769
94	858	2756
95	865	2740
96	872	2724
97	879	2710
98	887	2699
99	895	2686
100	901	2668
101	910	2659
102	918	2647
103	926	2636
104	932	2620
105	940	2607
106	947	2595
107	955	2584
108	962	2569
109	970	2557
110	977	2545
111	985	2534
112	992	2521
113	999	2506
114	1007	2497
115	1016	2489
116	1023	2475
117	1030	2462
118	1037	2450
119	1045	2440
120	1053	2428
121	1061	2418
122	1068	2406
123	1076	2395
124	1084	2385
125	1092	2374
126	1098	2362
127	1105	2349
128	1112	2337
129	1119	2324
130	1125	2311
131	1133	2301
132	1141	2291
133	1148	2280
134	1154	2266
135	1162	2255
136	1169	2244
137	1176	2234
138	1185	2225
139	1192	2214
140	1201	2207
141	1210	2199
142	1218	2189
143	1226	2180
144	1235	2172
145	1242	2162
146	1251	2153
147	1259	2145
148	1268	2137
149	1278	2130
150	1286	2120
151	1296	2115
152	1304	2106
153	1312	2096
154	1321	2088
155	1329	2079
156	1338	2071
157	1345	2061
158	1353	2051
159	1362	2043
160	1369	2033
161	1376	2022
162	1385	2014
163	1393	2005
164	1402	1997
165	1410	1988
166	1418	1979
167	1426	1970
168	1434	1960
169	1441	1950
170	1449	1941
171	1458	1933
172	1467	1925
173	1475	1916
174	1483	1907
175	1492	1899
176	1500	1889
177	1507	1879
178	1514	1870
179	1523	1862
180	1531	1853
181	1539	1844
182	1546	1834
183	1554	1825
184	1563	1816
185	1570	1806
186	1578	1798
187	1585	1787
188	1592	1778
189	1601	1769
190	1608	1760
191	1616	1751
192	1624	1742
193	1631	1732
194	1638	1723
195	1646	1713
196	1654	1704
197	1661	1695
198	1669	1686
199	1680	1680
200	1688	1671
201	1696	1662
202	1703	1653
203	1711	1644
204	1719	1635
205	1727	1627
206	1735	1617
207	1743	1609
208	1751	1600
209	1760	1592
210	1767	1583
211	1775	1574
212	1783	1566
213	1792	1557
214	1800	1549
215	1809	1541
216	1817	1532
217	1825	1523
218	1832	1514
219	1840	1506
220	1848	1497
221	1856	1488
222	1864	1479
223	1871	1470
224	1879	1462
225	1887	1453
226	1893	1442
227	1900	1433
228	1906	1423
229	1913	1414
230	1922	1406
231	1929	1396
232	1935	1387
233	1942	1377
234	1950	1369
235	1957	1360
236	1964	1351
237	1973	1343
238	1980	1334
239	1988	1325
240	1996	1317
241	2004	1308
242	2012	1300
243	2019	1291
244	2027	1282
245	2034	1273
246	2042	1265
247	2051	1257
248	2058	1248
249	2066	1239
250	2074	1231
251	2081	1222
252	2088	1213
253	2095	1204
254	2104	1196
255	2112	1188
256	2118	1179
257	2126	1170
258	2133	1161
259	2141	1153
260	2148	1143
261	2154	1135
262	2162	1126
263	2171	1118
264	2179	1110
265	2186	1101
266	2194	1093
267	2201	1084
268	2209	1075
269	2216	1067
270	2225	1059
271	2233	1050
272	2242	1043
273	2250	1034
274	2258	1026
275	2267	1018
276	2275	1010
277	2283	1002
278	2292	994
279	2300	985
280	2309	977
281	2316	969
282	2325	961
283	2332	952
284	2341	944
285	2349	936
286	2358	928
287	2366	920
288	2372	911
289	2379	902
290	2387	894
291	2394	885
292	2402	877
293	2409	868
294	2416	860
295	2424	851
296	2432	843
297	2440	835
298	2448	827
299	2454	818
300	2462	809
301	2470	801
302	2479	793
303	2487	785
304	2495	777
305	2503	769
306	2511	760
307	2518	752
308	2527	744
309	2535	735
310	2543	727
311	2551	719
312	2559	711
313	2568	703
314	2576	695
315	2584	686
316	2593	678
317	2600	670
318	2608	662
319	2616	654
320	2625	646
321	2633	637
322	2641	629
323	2649	621
324	2657	613
325	2664	604
326	2673	596
327	2681	588
328	2691	580
329	2699	572
330	2707	564
331	2715	556
332	2724	548
333	2731	539
334	2739	531
335	2748	523
336	2757	515
337	2764	507
338	2772	498
339	2780	490
340	2788	482
341	2797	474
342	2805	466
343	2813	458
344	2822	449
345	2828	441
346	2837	433
347	2845	425
348	2852	416
349	2860	408
350	2868	400
351	2875	392
352	2883	383
353	2889	375
354	2897	367
355	2906	359
356	2914	351
357	2922	342
358	2929	334
359	2938	326
360	2946	318
361	2954	310
362	2962	301
363	2971	293
364	2978	285
365	2988	277
366	2996	269
367	3005	261
368	3014	253
369	3020	244
370	3027	236
371	3036	228
372	3042	220
373	3047	211
374	3055	203
375	3063	195
376	3072	187
377	3081	179
378	3089	171
379	3097	163
380	3105	154
381	3113	146
382	3120	138
383	3129	130
384	3137	122
385	3144	114
386	3153	105
387	3161	97
388	3169	89
389	3177	81
390	3185	73
391	3193	65
392	3202	57
393	3210	48
394	3218	40
395	3226	32
396	3234	24
397	3242	16
398	3250	8
399	3258	0
